ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,Y
1,2,1,0,2,50,22,2,23,10,10,2,2,1,1,1,1,2
2,2,1,0,2,60,30,2,35,10,10,1,1,1,0,1,1,3
3,2,1,1,2,40,19,1,20,10,10,1,1,2,1,1,1,1
4,2,1,0,2,30,18,1,19,10,10,1,1,2,1,1,1,1
5,2,1,0,2,30,18,1,19,10,10,1,1,1,1,1,1,0
6,2,1,1,2,45,17,2,21,10,10,1,1,2,1,1,0,0
7,2,1,1,2,45,17,2,21,10,10,1,1,2,1,1,0,3
8,2,1,0,2,45,15,1,17,10,10,1,1,2,1,1,0,1
9,2,1,0,2,45,15,1,17,10,10,1,1,2,1,1,0,3
10,2,1,0,2,48,22,1,22,10,10,1,2,2,0,1,2,0
11,2,1,1,2,29,12,1,14,10,10,1,1,2,1,1,1,0
12,2,1,1,2,29,12,1,14,10,10,1,1,2,1,1,1,4
13,2,1,0,2,60,27,1,28,10,10,1,1,2,1,1,1,2
14,2,1,0,2,45,15,1,17,10,10,1,1,1,1,1,0,1
15,2,1,0,2,30,13,1,13,10,10,1,2,1,1,1,1,1
16,2,1,0,2,43,16,1,17,10,10,1,1,1,1,1,1,1
17,2,1,0,2,43,14,1,15,10,10,1,1,2,1,1,0,2
18,2,1,0,2,35,14,1,16,10,10,1,1,1,1,1,1,0
19,2,1,0,2,35,14,1,16,10,10,1,1,2,1,2,1,1
20,2,1,0,2,35,14,1,16,10,10,1,1,2,1,2,1,4
21,2,1,1,2,35,17,1,16,10,10,1,1,2,1,1,0,1
22,2,1,1,2,35,17,1,16,10,10,1,1,1,0,1,0,1
23,2,1,0,2,32,15,1,16,10,10,1,1,2,1,1,0,3
24,2,1,0,2,27,15,1,16,10,10,1,1,2,1,1,0,5
25,2,1,0,2,27,15,1,16,10,10,1,1,2,1,1,0,1
26,2,1,0,2,30,20,1,18,10,10,1,1,1,1,1,1,1
27,2,1,0,2,60,14,1,15,10,10,2,1,2,1,1,1,5
28,2,1,0,2,60,14,1,15,10,10,2,1,2,1,1,1,6
29,2,1,0,2,48,24,1,24,10,10,2,1,1,1,1,2,3
30,2,1,1,2,48,17,2,18,10,10,1,1,1,1,1,2,2
31,2,1,1,2,48,17,2,18,10,10,1,1,1,1,1,2,3
32,2,1,0,2,49,14,2,15,10,10,2,1,1,1,1,1,3
33,2,1,0,2,40,19,1,20,0,10,2,1,1,1,1,1,4
34,2,1,0,2,40,19,1,20,0,10,2,1,2,0,1,1,2
35,2,1,0,2,60,20,1,20,10,10,1,1,2,1,1,2,0
36,2,1,0,2,60,20,1,20,10,10,1,1,1,0,1,2,1
37,2,1,0,2,36,16,1,17,10,22,1,1,2,1,1,2,1
38,2,1,0,2,37,16,1,18,10,10,1,2,1,1,1,1,1
39,2,1,0,2,37,23,1,24,10,10,1,1,1,1,1,2,3
40,2,1,0,2,37,23,1,24,10,10,1,1,1,1,1,2,2
41,2,1,0,2,37,23,1,24,10,10,1,1,1,0,1,2,2
42,2,1,1,2,25,21,1,22,10,10,1,1,1,1,1,1,1
43,2,1,0,2,40,14,1,14,10,10,2,1,2,1,1,0,5
44,2,1,0,2,40,14,1,14,10,10,2,1,1,0,1,0,2
45,2,1,0,2,40,14,1,14,10,10,2,1,1,1,1,0,2
46,2,1,0,2,35,22,1,23,10,10,1,1,2,1,1,2,2
47,2,1,0,2,45,16,1,17,10,10,2,1,1,0,1,1,2
48,2,1,0,2,45,16,1,17,10,10,2,1,2,1,1,1,3
49,2,1,0,2,45,14,1,17,10,10,1,1,2,1,1,2,3
50,2,1,0,2,16,14,1,15,10,10,1,2,2,1,1,1,3
51,2,1,0,2,39,16,1,18,10,22,1,1,2,1,1,1,2
52,2,1,0,2,39,16,1,18,10,22,1,1,2,1,1,1,1
53,2,1,0,2,24,13,1,17,10,22,1,1,2,1,1,2,4
54,2,1,0,2,24,13,1,17,10,22,1,1,2,1,1,2,2
55,2,1,1,2,21,12,1,13,10,22,1,1,2,1,1,2,3
56,2,1,0,2,34,16,1,18,10,10,2,1,2,1,1,2,5
57,2,1,0,2,34,16,1,18,10,10,2,1,2,1,1,2,5
58,2,1,0,2,70,16,1,18,0,10,1,1,1,1,1,1,0
59,2,1,0,2,70,16,1,18,0,10,1,1,1,1,1,1,7
60,2,1,0,2,70,16,1,18,0,10,1,1,1,0,1,1,5
61,2,1,0,2,40,16,2,16,10,10,1,1,2,1,1,0,2
62,2,1,0,2,40,16,2,16,10,10,1,1,2,1,1,0,4
63,2,1,0,2,59,20,1,23,0,0,1,1,1,1,1,2,3
64,2,1,0,1,40,19,1,21,10,10,2,1,2,1,1,1,2
65,2,1,0,1,40,19,1,21,10,10,2,1,1,0,1,1,4
66,2,1,0,2,50,16,1,17,10,10,2,2,2,1,1,1,3
67,2,1,0,2,50,16,1,17,10,10,2,1,2,1,1,1,2
68,2,1,0,2,50,16,1,17,10,10,2,1,1,1,1,1,0
69,2,1,1,1,50,21,1,22,10,10,2,1,2,1,1,1,5
70,2,1,0,2,40,23,1,24,10,10,1,2,1,1,1,1,2
71,2,1,0,2,40,23,1,24,10,10,1,2,2,1,1,1,2
72,2,1,0,2,37,10,1,13,10,22,1,2,1,1,1,0,7
73,2,1,0,2,37,10,1,13,10,22,1,1,1,1,1,0,3
74,2,1,0,2,37,13,1,14,10,10,2,1,2,1,1,0,7
75,2,1,0,2,40,15,1,16,10,10,1,1,1,0,1,2,2
76,2,1,0,2,40,15,1,16,10,10,1,1,2,1,1,2,3
77,2,1,0,2,40,16,1,17,10,10,2,2,1,1,1,0,4
78,2,1,0,1,40,12,1,15,10,10,1,1,1,1,1,1,3
79,2,1,0,1,40,12,1,15,10,10,1,2,2,1,1,1,4
80,2,1,0,2,35,16,1,18,10,10,1,2,2,1,1,1,1
81,2,1,0,2,35,16,1,18,10,10,1,1,2,1,1,1,1
82,2,1,0,2,35,15,1,16,10,10,1,1,2,1,1,1,0
83,2,1,1,2,64,17,1,19,10,22,1,1,2,1,1,2,1
84,2,1,0,2,25,13,1,15,10,10,1,1,2,1,1,2,1
85,2,1,0,2,43,17,1,19,10,10,1,1,1,1,1,1,4
86,2,1,0,2,43,17,1,19,10,10,1,1,2,1,1,1,2
87,2,1,0,2,29,18,1,19,10,22,1,2,1,1,1,1,3
88,2,1,0,2,29,18,1,19,10,22,1,1,1,1,1,1,0
89,2,1,0,2,25,21,1,22,10,22,1,1,2,1,1,2,4
90,2,1,0,2,39,15,1,16,10,10,2,1,1,1,1,1,2
91,2,1,0,2,39,15,1,16,10,10,2,1,1,1,1,1,6
92,2,1,0,2,34,16,1,16,10,10,1,1,1,1,1,1,4
93,2,1,0,2,34,16,1,16,10,10,1,1,1,1,1,1,1
94,2,1,0,2,34,11,1,13,10,10,1,1,2,1,1,2,0
95,2,1,0,2,34,11,1,13,10,10,1,1,1,1,1,2,4
96,2,1,0,2,34,11,1,13,10,10,1,1,1,1,1,2,1
97,2,1,0,2,34,20,1,22,0,0,1,1,2,1,1,2,1
98,2,1,0,2,34,20,1,22,0,0,1,1,2,1,1,2,2
99,2,1,0,2,34,24,1,25,10,10,1,1,1,1,1,1,3
100,2,1,0,2,34,24,1,25,10,10,1,1,1,1,1,1,2
101,2,1,1,2,36,17,1,17,10,10,1,1,2,1,1,0,5
102,2,1,0,2,28,13,1,13,10,10,2,1,1,1,1,1,1
103,2,1,0,2,26,18,1,19,10,10,1,1,2,1,1,1,2
104,2,1,0,2,26,18,1,19,10,10,1,1,1,1,1,1,0
105,2,1,0,2,50,11,1,13,10,22,2,1,2,1,1,1,2
106,2,1,0,2,50,11,1,13,10,22,2,1,2,0,1,1,2
107,2,1,0,2,50,12,1,14,0,0,2,1,1,0,1,1,6
108,2,1,0,2,50,12,1,14,0,0,2,1,2,1,1,1,3
109,2,1,0,2,50,12,1,14,0,0,2,1,1,1,1,1,4
110,2,1,0,2,28,10,1,14,10,10,1,1,1,1,1,1,1
111,2,1,0,2,28,10,1,14,10,10,1,1,1,1,1,1,3
112,2,1,0,2,28,10,1,14,10,10,1,1,1,1,1,1,1
113,2,1,0,2,65,24,1,25,10,22,1,1,2,1,1,2,0
114,2,1,0,2,25,19,1,19,10,10,1,1,2,1,1,0,0
115,2,1,0,2,25,19,1,19,10,10,1,1,2,1,1,0,2
116,2,1,0,2,53,21,2,23,10,10,1,1,1,1,1,1,3
117,2,1,1,2,43,12,1,26,10,10,1,0,1,1,1,1,0
118,2,1,1,2,43,12,1,26,10,10,1,1,2,1,1,1,0
119,2,1,1,2,43,12,1,26,10,10,1,1,2,1,1,1,0
120,2,1,0,2,46,17,1,18,0,10,1,1,2,1,1,0,4
121,2,1,0,2,40,19,1,21,0,0,1,1,2,1,1,2,0
122,2,1,0,2,40,21,1,21,10,10,2,2,2,1,1,1,1
123,2,1,0,2,36,18,1,17,10,10,1,2,1,1,1,1,2
124,2,1,0,2,33,17,1,19,10,10,1,1,2,1,1,2,2
125,2,1,0,2,33,17,1,19,10,10,1,1,1,1,1,2,4
126,2,1,0,2,24,12,2,21,10,10,1,1,1,0,1,1,3
127,2,1,0,2,53,16,1,17,10,10,1,1,1,1,1,1,0
128,2,1,0,2,53,16,1,17,10,10,1,1,2,1,1,1,2
129,2,1,0,2,50,20,1,21,0,0,2,1,2,1,1,0,3
130,2,1,0,2,50,20,1,21,0,0,2,1,1,1,1,0,3
131,2,1,0,2,28,16,1,17,10,10,1,2,1,1,1,2,0
132,2,1,0,2,33,18,1,18,10,10,2,2,2,1,1,2,5
133,2,1,0,2,33,18,1,18,10,10,2,2,2,1,1,2,2
134,2,1,0,2,70,17,1,18,0,0,1,1,2,1,1,1,2
135,2,1,0,2,45,18,1,19,10,10,2,2,2,1,1,2,2
136,2,1,0,2,45,18,1,19,10,10,2,1,2,1,1,2,2
137,2,1,0,2,32,18,2,19,10,10,2,2,1,1,1,0,3
138,2,1,1,2,29,17,1,18,10,10,1,1,1,1,1,2,2
139,2,1,1,2,29,17,1,18,10,10,1,1,1,1,1,2,0
140,2,1,0,2,60,14,2,16,10,10,1,2,1,1,1,1,2
141,2,1,0,2,53,17,1,18,10,10,1,2,2,1,1,2,2
142,2,1,0,2,53,17,1,18,10,10,1,1,2,1,1,2,1
143,2,1,0,2,55,12,1,13,10,10,2,2,1,1,1,0,4
144,2,1,0,2,85,11,1,12,10,10,2,1,1,0,1,0,4
145,2,1,0,2,85,15,1,16,10,10,2,2,1,1,1,1,1
146,2,1,0,2,67,14,1,19,10,10,1,1,2,1,1,0,3
147,2,1,0,2,67,14,1,19,10,10,1,1,2,1,1,0,3
148,2,1,0,2,61,15,1,38,10,10,1,1,1,1,1,2,1
149,2,1,0,2,61,16,1,17,10,10,1,1,2,1,1,2,2
150,2,1,0,2,61,16,1,17,10,10,1,1,2,1,1,2,1
151,2,1,0,2,61,16,1,17,10,10,1,1,2,1,1,2,1
152,2,1,0,2,61,17,2,17,10,10,2,2,1,1,1,1,3
153,2,1,0,2,61,17,2,17,10,10,2,1,1,1,1,1,4
154,2,1,0,2,61,15,1,17,10,10,1,2,2,1,1,1,3
155,2,1,0,2,61,15,1,17,10,10,1,1,2,1,1,1,1
156,2,1,0,2,34,20,1,22,10,10,1,2,2,1,1,2,1
157,2,1,0,2,34,20,1,22,10,10,1,2,2,1,1,2,2
158,2,1,0,2,41,20,1,21,10,10,2,2,2,1,1,2,5
159,2,1,0,2,41,20,1,21,10,10,2,1,1,1,1,2,2
160,2,1,0,2,49,15,1,17,10,10,2,1,1,1,1,1,4
161,2,1,0,2,44,19,1,21,10,10,2,2,1,1,2,2,3
162,2,1,0,2,44,19,1,21,10,10,2,2,1,1,2,2,1
163,2,1,0,2,58,29,1,19,10,10,2,1,2,0,1,0,3
164,2,1,0,2,40,17,2,18,10,10,2,1,1,1,1,2,1
165,2,1,0,2,40,17,2,18,10,10,2,1,2,1,1,2,3
166,2,1,0,2,28,23,2,23,10,10,1,2,1,1,1,2,0
167,2,1,1,2,28,14,1,16,10,22,1,1,1,1,1,1,0
168,2,1,1,2,28,14,1,16,10,22,1,1,2,0,1,1,1
169,2,1,0,2,28,14,1,17,10,10,1,2,1,1,1,2,2
170,2,1,0,2,28,14,1,17,10,10,1,1,1,1,1,2,1
171,2,1,0,2,38,18,1,18,10,10,1,1,1,1,1,2,1
172,2,1,0,2,31,18,1,20,10,10,2,1,2,1,1,2,5
173,2,1,0,2,31,18,1,20,10,10,2,1,1,1,2,2,3
